gene,SW48-48h-12b1_Read_Count,SW48-48h-12b2_Read_Count,SW48-48h-12b3_Read_Count,SW48-48h-C1_Read_Count,SW48-48h-C2_Read_Count,SW48-48h-C3_Read_Count
BCYRN1P1,28,14,15,18,21,12
BDH1,2217,1996,1767,1892,2041,1823
BDKRB1,2,0,0,0,0,0
BDKRB2,10,5,0,2,0,3
BDNF,156,96,142,83,92,86
CFB,0,9,16,0,10,5
BFSP1,356,267,254,196,164,139
BGLAP,10,16,10,10,9,7
BGN,0,0,0,0,0,0
CEACAM1,9,8,9,18,18,10
BHMT,0,0,0,0,0,0
BICD1,2977,2462,2595,2433,2670,2278
BID,2477,2089,1936,1994,2108,1810
BIK,348,305,286,268,312,233
PRDM1,1161,921,970,1224,1307,1126
BLK,0,0,0,0,1,0
BLM,2497,1743,1704,2072,2423,1971
BLMH,3861,3355,2967,3344,3496,2894
CXCR5,2,2,2,0,2,1
BLVRA,2898,2636,2364,2690,2829,2358
BLVRB,1538,1436,1256,1748,1693,1616
BNC1,12,3,10,12,27,20
BMI1,5225,4210,3540,4494,4772,3595
BMP1,2720,2580,2492,2643,2867,2540
BMP2,12,8,0,11,16,4
BMP3,0,0,0,0,0,0
BMP4,91288,75812,71286,70217,76765,66963
BMP5,0,0,0,0,0,0
BMP6,1,1,1,1,1,1
BMP7,5030,4273,4213,5111,5509,4881
BMP8B,1264,1114,1081,980,979,918
BMPR1A,4597,3808,3743,3572,3865,3042
BMPR1B,0,0,0,0,0,2
BMPR2,8467,7081,6205,6028,6560,5201
BMX,0,0,0,0,0,0
POLR3D,3437,2956,3024,2423,2466,2233
BNIP1,517,405,344,418,433,367
BNIP2,3126,2657,2261,2463,2565,2066
BNIP3,0,0,0,0,0,0
BNIP3L,6631,4954,4832,5612,5218,4922
BOK,1880,1719,1813,1563,1638,1508
DST,14667,11629,12063,11007,13096,10855
FOXL2,0,0,0,0,0,0
BPGM,1567,1382,1190,1117,1219,932
BPHL,1640,1374,1284,1726,1907,1646
BPI,0,0,0,0,0,0
BRCA1,1674,1310,1281,2135,2367,1802
BRAF,5992,4720,4609,4203,4435,3685
BRCA2,1935,1611,1601,1981,2175,1808
BRDT,0,0,0,0,0,0
ZFP36L1,41809,31945,33282,25750,26722,24708
ZFP36L2,6263,5198,4870,3837,4418,3656
BRS3,0,0,0,0,0,0
BSG,41833,36054,33467,35869,37750,34503
BST1,0,8,6,3,0,6
BST2,16,8,25,24,21,32
BTC,1306,1044,907,1306,1269,1015
BTD,784,740,689,566,649,581
KLF9,4863,4018,3943,3151,3288,2742
KLF5,7209,5763,5789,5335,5468,4638
BTF3,24426,19117,17999,17156,18198,15238
BTF3P11,0,0,0,0,0,0
BTF3P1,0,0,3,0,0,0
BTG1,2697,2023,2020,2474,2292,1944
BTK,15,12,0,23,22,26
BTN1A1,0,0,3,5,3,5
BUB1,5742,4804,4299,5623,6011,4774
BUB1B,6852,5396,4824,6797,7540,6200
BYSL,1533,1411,1208,1412,1525,1307
TSPO,3896,3659,3155,3575,3787,3439
C1QBP,9413,7606,7051,9497,10309,8714
SERPING1,6,0,0,0,0,0
ERC2-IT1,0,0,0,0,0,0
C1QA,0,0,2,0,0,0
C1QB,0,0,0,0,0,0
C1QC,0,0,0,0,0,0
C1R,2723,2406,2324,2883,3026,2620
C1S,73,59,73,48,61,40
C2,91,101,91,27,64,62
C3,11,12,5,6,0,0
C3AR1,0,0,0,0,0,0
C4A,104,90,71,86,95,81
C4B,78,64,57,75,70,64
C4BPA,0,0,0,0,0,0
C4BPB,2,0,0,0,0,0
CAPN5,1130,971,947,1046,1080,950
C5,916,754,593,875,970,780
C5AR1,8,2,0,4,12,4
C6,0,0,0,0,0,0
C7,0,0,0,0,0,0
C8A,0,0,0,0,0,0
C8B,0,0,0,0,0,0
C8G,23,21,25,16,24,12
OSGIN2,3686,3036,2981,3071,3074,2463
C9,0,0,0,0,0,0
VPS51,5471,4990,4637,4245,4420,4024
MRPL49,3172,2674,2474,2916,3050,2563
ZNHIT2,531,535,488,614,624,545
MPPED2,11,4,0,11,6,7
MYRF,3310,2866,2830,2542,2804,2467
TMEM258,1181,1193,1065,1041,1090,1036
DAGLA,944,856,774,1046,1075,968
GAS8-AS1,0,0,0,0,0,0
FMNL1,1496,1203,1225,1128,1230,1155
LDLRAD4,18,13,20,32,13,8
PTTG1IP,9857,8139,7633,7601,8050,6824
CFAP410,609,555,573,513,541,531
TMEM50B,1770,1502,1388,1550,1523,1260
MPPED1,0,0,0,0,0,0
CA1,0,0,0,0,0,0
CA2,66,64,35,70,66,55
CA3,25,27,12,25,20,26
CA4,1,2,1,1,1,0
CA5A,0,0,0,0,0,0
CA5AP1,0,0,0,0,0,0
CA6,0,0,0,0,0,0
CA7,0,0,0,0,0,0
CA8,0,0,0,0,0,0
CA9,0,0,0,0,0,0
CA11,975,855,871,906,1041,883
CA12,2,0,0,0,0,0
CACNA1A,41,24,42,27,25,43
CACNA1B,45,25,34,21,25,16
CACNA1C,24,20,9,12,16,13
CACNA1D,1571,1441,1268,1462,1634,1390
CACNA1E,0,0,0,0,2,0
CACNA1F,46,30,38,21,25,18
CACNA1S,2,0,0,0,0,0
DDR1,27374,24020,23640,22284,22850,21359
CACNA2D1,0,0,0,0,0,0
CACNB1,1212,1016,1006,1047,1052,978
CACNB2,10,10,0,0,0,0
CACNB3,2984,2841,2599,2254,2355,2224
CACNB4,32,17,48,28,23,13
CACNG1,0,0,0,0,0,0
SLC25A20,588,529,423,757,788,618
SLC25A20P1,0,0,0,0,0,0
CAD,14498,13610,12604,12617,14219,12638
CALB1,4,0,5,0,0,0
CALB2,57,60,73,47,52,35
S100G,0,0,0,0,0,0
CALCA,0,0,3,0,0,0
CALCB,0,6,9,0,12,4
CALCR,0,0,0,0,0,0
CALD1,3341,2835,2604,2869,3075,2582
CALM1,19513,15611,14790,20704,22034,18535
CALM1P1,0,0,0,0,0,0
CALM1P2,0,0,0,0,0,0
CALM2,22823,17847,16915,19412,20423,16341
CALM2P2,1,3,2,1,4,6
CALM2P3,1,1,0,1,0,0
CALM3,12003,10458,10238,11021,12387,10896
CALML3,0,0,0,0,0,0
CALR,37927,32359,31188,41654,43541,38739
CALU,26452,20691,19398,20505,21777,17650
CAMK4,0,0,0,0,0,2
CAMK2A,0,0,0,0,0,0
CAMK2B,42,20,13,21,21,18
CAMK2D,6982,5199,5709,5392,5419,4386
CAMK2G,7841,6683,6537,5233,5370,4865
CAMLG,4819,3835,3710,2615,2740,2209
CAMP,0,0,0,0,0,0
CANX,45265,36976,34073,40987,42968,35056
CAPG,5112,4588,4166,5275,5589,5029
CAPN1,9592,9054,8501,7626,8278,7653
CAPN2,17706,13783,14313,10605,11126,9741
CAPN3,10,17,11,40,39,36
CAPNS1,13154,11535,11052,12281,12961,11870
CAPN6,36,28,36,40,32,38
CAPS,79,100,91,98,96,82
CAPZA1,10295,7974,7309,9179,9361,7447
CAPZA2,6815,5431,4741,6124,6292,4585
CAST,13320,10821,10228,11145,11999,9912
CAPZB,6696,5360,5303,5801,5731,5025
CARS1,8142,6434,6280,5829,5942,5330
CASP1,0,0,0,0,0,0
CASP2,9467,8291,7475,9026,9160,7897
CASP3,2439,1930,1770,2163,2246,1737
CASP4,178,130,111,144,142,116
CASP5,0,0,0,0,0,0
CASP6,1973,1600,1376,1699,1800,1513
CASP7,1335,1099,1126,991,1159,986
CASP8,1360,1310,998,1333,1342,1164
CASP9,828,672,707,562,674,607
CASP10,15,0,7,7,9,4
CASQ1,0,0,0,0,0,0
CASQ2,0,0,0,0,0,0
CASR,0,0,0,0,0,0
CAT,3838,2989,2791,4014,4094,3547
CAV1,37576,29723,28636,29109,30278,25408
CAV2,3942,3125,3121,2752,2817,2062
CAV3,0,0,0,0,0,0
RUNX2,8562,6958,6998,6782,7533,6347
RUNX1,2871,2372,2272,2101,2061,1950
RUNX1T1,0,0,0,0,0,0
