gene,coef,abs_coef
NID1,-0.008146711565368146,0.008146711565368146
LOC105378408,-0.008141073174366836,0.008141073174366836
CYMP,0.008124806645530962,0.008124806645530962
PDC-AS1,-0.008114558521903365,0.008114558521903365
SLC5A12,0.008094540375348427,0.008094540375348427
PANX2,0.008061328233144583,0.008061328233144583
LOC102723446,-0.008018637015549068,0.008018637015549068
LOC105377000,0.008009253049374073,0.008009253049374073
KRT81,0.007850155007694924,0.007850155007694924
RPL10P9,0.007837658988458092,0.007837658988458092
LOC100507156,0.00783121248760367,0.00783121248760367
LINC00638,-0.00782733685152354,0.00782733685152354
LUCAT1,-0.007789869935028313,0.007789869935028313
KRTAP3-2,0.007768823371645767,0.007768823371645767
LOC107986298,-0.007767132988835392,0.007767132988835392
GASAL1,-0.007706877742270305,0.007706877742270305
LOC107984701,0.007695808505327527,0.007695808505327527
LOC105370902,-0.007682569596518772,0.007682569596518772
FBXO2,0.007637935523800751,0.007637935523800751
LOC107985334,0.007572395815774979,0.007572395815774979
NYAP2,0.00756292562988504,0.00756292562988504
LOC101927536,0.00756292562988504,0.00756292562988504
LOC653160,0.007469298507755326,0.007469298507755326
LOC103171574,0.007447140007550097,0.007447140007550097
HEPN1,0.007447140007550097,0.007447140007550097
GBP2,0.007445164125604593,0.007445164125604593
LOC105373069,-0.007425741941263766,0.007425741941263766
RPL10P2,0.0073328976779607835,0.0073328976779607835
LOC644169,-0.007329466179512704,0.007329466179512704
GNAT1,-0.007321879945101128,0.007321879945101128
IL1RAPL1,0.007312376004106481,0.007312376004106481
CDH7,-0.007258201176268304,0.007258201176268304
NDUFAF8,-0.007249323804654333,0.007249323804654333
KRT87P,0.0072483266452640725,0.0072483266452640725
LOC105377509,0.007213710055035124,0.007213710055035124
FKBP1A-SDCBP2,0.007188779320256977,0.007188779320256977
SLC35F4,0.007159409012845211,0.007159409012845211
HAPLN4,-0.007147365116509231,0.007147365116509231
KRT86,0.007132465176041908,0.007132465176041908
SPDYE17,-0.007114832369906256,0.007114832369906256
BEND6,0.0070725952356244575,0.0070725952356244575
KRTAP3-1,0.007069866120235594,0.007069866120235594
LOC105369890,-0.006969081195220638,0.006969081195220638
RDH5,-0.006959439013646957,0.006959439013646957
NPY4R2,0.00695154945226052,0.00695154945226052
CTB-30L5.1,0.00694244895790577,0.00694244895790577
LOC101927919,-0.006927547943480273,0.006927547943480273
LOC105371989,-0.0068747886893665115,0.0068747886893665115
LOC107985900,-0.006856700483433668,0.006856700483433668
MYPN,-0.006856700483433668,0.006856700483433668
ZNF365,0.006854485465706317,0.006854485465706317
DCAF4L1,-0.006834217815074075,0.006834217815074075
LOC105373244,-0.006831676566658186,0.006831676566658186
NUP50P1,0.006743944180035853,0.006743944180035853
RNF39,0.006721765509194784,0.006721765509194784
LOC105377413,-0.006695531796629931,0.006695531796629931
NHLRC4,0.006670979562993981,0.006670979562993981
CCN2,0.006620735844866894,0.006620735844866894
LHX4-AS1,-0.006556823407888539,0.006556823407888539
CPNE9,0.00642589427087838,0.00642589427087838
SHISAL1,0.00642589427087838,0.00642589427087838
LOC105377698,0.006419704487831985,0.006419704487831985
YPEL1,0.00640683852415801,0.00640683852415801
KRT16P1,0.006365595494226035,0.006365595494226035
S100A14,0.006343920660033959,0.006343920660033959
SMPD2,-0.006315790491101808,0.006315790491101808
ZNF154,0.006265823177799674,0.006265823177799674
NCMAP,0.006177159031886343,0.006177159031886343
HK2,-0.006072923452676731,0.006072923452676731
ACSBG2,-0.006048188110492555,0.006048188110492555
HMGA1P3,0.006042750030065063,0.006042750030065063
PRSS27,0.006039209782061584,0.006039209782061584
LRRN4CL,-0.006010393526732029,0.006010393526732029
TGFB2-AS1,-0.00599978682145343,0.00599978682145343
GRIK5,-0.005997567555534669,0.005997567555534669
LOC105374944,-0.005996118726867453,0.005996118726867453
GZMB,0.005978530146451032,0.005978530146451032
LOC105373210,-0.005822794711515698,0.005822794711515698
GRB7,0.0058138942327971505,0.0058138942327971505
LOC105372446,-0.005810263874290734,0.005810263874290734
EFCAB9,0.005726602741124142,0.005726602741124142
PCP2,-0.005707124275510671,0.005707124275510671
UBXN11,-0.005681631813020372,0.005681631813020372
SDSL,-0.005665960901807107,0.005665960901807107
